place_id,name,address,latitude,longitude,rating,review_count,primary_type,types,website,google_maps_url,search_query,price_numeric_imputed,price_tier_imputed,price_tier_numeric
ChIJhUH4BABxhlQRl-_T2P6_dfY,Jerusalem Shawarma Vancouver,"560 Robson St, Vancouver, BC V6B 2B7",49.280327,-123.11860379999996,4.9,7042.0,middle_eastern_restaurant,"middle_eastern_restaurant, restaurant, food, point_of_interest, establishment",https://jerusalem-bc.com/,https://maps.google.com/?cid=17759311806885785495&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Mediterranean restaurants in Downtown Vancouver BC,1.0,$,1
ChIJLyiydABzhlQRa-PA89MDwI8,Taqueria Jalisco Mexican Restaurant,"1180 Denman St #201, Vancouver, BC V6G 2M9",49.2874789,-123.1412321,4.9,3913.0,mexican_restaurant,"mexican_restaurant, restaurant, food, point_of_interest, establishment",,https://maps.google.com/?cid=10358283351814628203&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Mexican restaurants in Downtown Vancouver BC,1.0,$,1
ChIJVZjKRJdxhlQRHaBRedlJ-KA,Mr.Shawarma Robson Location,"800 Robson St, Vancouver, BC V6Z 2E7",49.2821882,-123.1214554,4.9,2170.0,middle_eastern_restaurant,"middle_eastern_restaurant, restaurant, food, point_of_interest, establishment",https://mrshawarmafastfood.ca/,https://maps.google.com/?cid=11599102038684835869&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Lebanese restaurants in Downtown Vancouver BC,1.0,$,1
ChIJsZA9cXBxhlQRinTjwXCWK2w,Mr. Supreme Shawarma Granville Location,"680 Granville St, Vancouver, BC V7Y 1H4",49.2829831,-123.11722059999998,4.9,2114.0,fast_food_restaurant,"fast_food_restaurant, restaurant, food, point_of_interest, establishment",,https://maps.google.com/?cid=7794488991128188042&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Turkish restaurants in Gastown BC,1.0,$,1
ChIJBbm4BghxhlQRlfWQoS4sRGI,BC MoMo Restaurant & Bar,"678 Seymour St, Vancouver, BC V6B 3K6",49.2820833,-123.11653779999996,4.9,1718.0,restaurant,"restaurant, food, point_of_interest, establishment",https://www.bcmomo.ca/,https://maps.google.com/?cid=7080833092924011925&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Indian restaurants in Downtown Vancouver BC,2.0,$$,2
ChIJi7NJrW5xhlQRIFM6qpLfgcQ,Narenj Restaurant Vancouver,"E 12th St, North Vancouver, BC V7L 2J3",49.3188323,-123.071983,4.9,1395.0,persian_restaurant,"persian_restaurant, restaurant, food, point_of_interest, establishment",https://narenjfood.com/,https://maps.google.com/?cid=14159844524443718432&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Lebanese restaurants in North Vancouver BC,2.0,$$,2
ChIJKRnP67TVhVQRIMApysQVD2Y,Inkantu Peru Canada,"19166 McMyn Rd, Pitt Meadows, BC V3Y 0E3",49.2294108,-122.6902762,4.9,1112.0,peruvian_restaurant,"peruvian_restaurant, restaurant, food, point_of_interest, establishment",https://www.inkantuperu.ca/,https://maps.google.com/?cid=7354120651468816416&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Peruvian restaurants in Mount Pleasant BC,2.0,$$,2
ChIJ-3VdJwB3hlQRXeaRu3bNBas,NamPo Rice Bowl,"5021 Kingsway #109, Burnaby, BC V5H 2E5",49.2261949,-122.9917955,4.9,931.0,asian_restaurant,"asian_restaurant, restaurant, food, point_of_interest, establishment",,https://maps.google.com/?cid=12323481865205966429&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Korean restaurants in Burnaby BC,1.0,$,1
ChIJHaMgNgBxhlQRUPdXTziS1JU,Yunqueen Rice Noodles,"1460 Robson St, Vancouver, BC V6G 0E8",49.2884063,-123.1311114,4.9,837.0,chinese_noodle_restaurant,"chinese_noodle_restaurant, restaurant, food, point_of_interest, establishment",https://yunqueennoodles.com/,https://maps.google.com/?cid=10796414977260910416&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Chinese restaurants in Downtown Vancouver BC,1.0,$,1
ChIJIY8E0n1xhlQRRqtqthf2YK0,Super Chef Grill,"280 Robson St, Vancouver, BC V6B 0E7",49.278552,-123.1157328,4.9,805.0,asian_restaurant,"asian_restaurant, japanese_restaurant, chinese_restaurant, restaurant, food, point_of_interest, establishment",,https://maps.google.com/?cid=12493255948030880582&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Chinese restaurants in Downtown Vancouver BC,1.0,$,1
