place_id,name,address,latitude,longitude,rating,review_count,price_level,primary_type,types,website,google_maps_url,search_query
ChIJ_T3myUhxhlQRvzhG9hm9rnE,Mr. Greek Donair Store,"2285 Commercial Dr, Vancouver, BC V5N 4B6",49.26407100000001,-123.06994549999997,4.7,1379.0,,middle_eastern_restaurant,"middle_eastern_restaurant, restaurant, food, point_of_interest, establishment",https://www.mrgreekdonair.com/,https://maps.google.com/?cid=8191692691437140159&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Mediterranean restaurants in Commercial Drive BC
ChIJCX5OhzFzhlQRmM-hZpTNRZc,LE COQ FRIT (VANCOUVER),"1888 W Broadway, Vancouver, BC V6J 1Y9",49.2635643,-123.14775809999999,4.7,1364.0,,chicken_restaurant,"chicken_restaurant, asian_restaurant, fusion_restaurant, meal_takeaway, restaurant, food, point_of_interest, establishment",http://lecoqfrit.ca/,https://maps.google.com/?cid=10900344510380887960&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Peruvian restaurants in Kitsilano BC
ChIJZQfQ9XhxhlQRB6bAuVgAcwY,Pholicious,"430 W Pender St, Vancouver, BC V6B 1L6",49.2830164,-123.11274669999997,4.7,1309.0,PRICE_LEVEL_INEXPENSIVE,vietnamese_restaurant,"vietnamese_restaurant, sandwich_shop, vegetarian_restaurant, soup_restaurant, japanese_restaurant, restaurant, food, point_of_interest, establishment",https://pholicious.zomi.menu/,https://maps.google.com/?cid=464715567622825479&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Vietnamese restaurants in Downtown Vancouver BC
ChIJdb16YOdzhlQRdTEn_JE_BVA,Cilantro Indian Cuisine,"189 W Broadway, Vancouver, BC V5Y 1P4",49.263283,-123.1088971,4.7,1252.0,PRICE_LEVEL_VERY_EXPENSIVE,indian_restaurant,"indian_restaurant, restaurant, food, point_of_interest, establishment",https://cilantrovancouver.com/,https://maps.google.com/?cid=5766084794151022965&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Indian restaurants in Downtown Vancouver BC
ChIJl7JdMZpzhlQR34309UfxWo8,bbq Chicken & Pub Main ST,"4470 Main St, Vancouver, BC V5V 3R3",49.2448463,-123.1010764,4.7,1208.0,PRICE_LEVEL_MODERATE,korean_restaurant,"korean_restaurant, chicken_restaurant, pub, bar, meal_takeaway, restaurant, food, point_of_interest, establishment",https://bbqchickenca.com/,https://maps.google.com/?cid=10329833986699070943&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Caribbean restaurants in Mount Pleasant BC
ChIJWbVuptBxhlQRGULmJSp-kX0,SOCIAL CORNER COAL HARBOUR,"1050 W Cordova St, Vancouver, BC V6E 2E9",49.2878482,-123.1181564,4.7,1206.0,,restaurant,"restaurant, food, point_of_interest, establishment",http://socialcorner.com/,https://maps.google.com/?cid=9048151845853610521&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Spanish restaurants in Downtown Vancouver BC
ChIJV6xj61hxhlQRHxxDPtDoXLs,VanLove sushi & more,"1755 Robson St, Vancouver, BC V6G 1C9",49.291219399999996,-123.13469889999998,4.7,1198.0,,sushi_restaurant,"sushi_restaurant, japanese_restaurant, restaurant, food, point_of_interest, establishment",https://vanlove.ca/,https://maps.google.com/?cid=13500921764045331487&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Japanese restaurants in West End BC
ChIJcYbvUvlxhlQRE6hNBWg9VH8,"Nonna's Cucina ""Italian Street Food""","2166 E Hastings St, Vancouver, BC V5L 1V2",49.281013800000004,-123.06025460000001,4.7,1107.0,,italian_restaurant,"italian_restaurant, restaurant, food, point_of_interest, establishment",,https://maps.google.com/?cid=9175025857835411475&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Italian restaurants in Mount Pleasant BC
ChIJh8ZyW35xhlQRvGhhR6vDQXg,Viet Sub Vietnamese Cuisine,"520 Robson St, Vancouver, BC V6B 2B7",49.280195799999994,-123.1182479,4.7,1092.0,PRICE_LEVEL_INEXPENSIVE,vietnamese_restaurant,"vietnamese_restaurant, meal_delivery, food_delivery, fast_food_restaurant, restaurant, food, point_of_interest, establishment",https://vietsubvietnamesecuisine.zomi.menu/,https://maps.google.com/?cid=8665422298441935036&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Vietnamese restaurants in Downtown Vancouver BC
ChIJp0Iaj3N3hlQRwLhX7gyrKI4,Hello Nori - Brentwood,"1920 Willingdon Ave #1114, Burnaby, BC V5C 0K3",49.267796999999995,-123.002353,4.7,1072.0,,japanese_restaurant,"japanese_restaurant, sushi_restaurant, meal_takeaway, bar, restaurant, food, point_of_interest, establishment",https://www.hellonori.com/,https://maps.google.com/?cid=10243625424480876736&g_mp=Cidnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLlNlYXJjaFRleHQQAhgEIAA,Japanese restaurants in Burnaby BC
